organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_10464,0.937605444749793,12.1090277230076,12.4191148831869,0.00042558161232,0.002508963505231,,1
1276135,infect48hXinfect144h,MAN_08276,0.933445198686487,8.67053258363108,10.1589219626748,0.001437489104592,0.007224805300121,,1
1276135,infect48hXinfect144h,MAN_02320,0.931766332192701,9.62874218129143,11.829235920199,0.000583856079753,0.003291734747044,,1
1276135,infect48hXinfect144h,MAN_01227,0.930204288775888,8.44323493278834,9.62258008408864,0.001923743817576,0.009307525235036,,1
1276135,infect48hXinfect144h,MAN_06584,0.906831821972719,10.9959551850393,12.0918065742052,0.000507141767197,0.002917280814235,,1
1276135,infect48hXinfect144h,MAN_08820,0.895923808634062,10.2086150538361,11.5100565244096,0.000693083310232,0.00383962883273,,1
1276135,infect48hXinfect144h,MAN_03637,0.878793651299983,9.51318932873802,10.3844137164803,0.001272165458862,0.0064971534877,,1
1276135,infect48hXinfect144h,MAN_04635,0.877117739088483,9.3137133563479,10.0893491961479,0.001492767744978,0.007463832016474,,1
1276135,infect48hXinfect144h,MAN_10009,0.856134537186899,9.50063871876608,9.84878338809515,0.001701054579295,0.008369057237932,,1
1276135,infect48hXinfect144h,MAN_10152,0.846991886442868,9.54465822972602,9.71011916851126,0.001834256404378,0.008925372647068,,1
1276135,infect48hXinfect144h,MAN_02146,-0.838607597536766,10.152135310611,10.0638918599892,0.001513528541098,0.007555789324846,,1
1276135,infect48hXinfect144h,MAN_03957,-0.846527493727093,10.8878837947644,10.5480515440067,0.001164359350613,0.006034197671188,,1
1276135,infect48hXinfect144h,MAN_09746,-0.855164939553722,10.1184390097712,10.4316059821573,0.00124007723956,0.006367372425923,,1
1276135,infect48hXinfect144h,MAN_03632,-0.865169771108307,10.3511472201124,10.811182737801,0.001010025805766,0.005351300360005,,1
1276135,infect48hXinfect144h,MAN_08555,-0.887522408274046,9.56369993081582,10.6618266275404,0.001094895125398,0.005717785654858,,1
1276135,infect48hXinfect144h,MAN_10799,-0.912578614524814,8.94150896201622,10.2781173069553,0.001347554864658,0.006837667693854,,1
1276135,infect48hXinfect144h,MAN_08379,-0.928504601616264,8.81472101767104,10.3867348191441,0.001270567756774,0.006492244765198,,1
